partNo,comp_1,incomp_1,comp_2,incomp_2,comp_3,incomp_3,comp_4,incomp_4,comp_5,incomp_5,comp_6,incomp_6,comp_7,incomp_7,comp_8,incomp_8
104_small,582.83,606.226,597.084,602.043,599.4,572.5,572.938,565.142,541.442,553.338,542.168,557.936,538.41,544.62,532.6,517.8
106_small,525.178,537.922,533.724,488.371,514.558,479.852,510.881,472.844,518.016,441.628,478.276,430.984,465.968,450.61,444.6,420
107_small,486.502,472.246,481.65,447.565,446.868,443.446,437.586,426.263,448.854,462.82,435.586,426.134,395.896,438.928,422,450.4
108_small,1161.473,1220.933,1100.436,1160.788,1257.16,1089.905,1025.72,1079.692,1097.392,1123.748,1114.532,1091.73,998.542,1214.812,879.4,980.4
109_small,693.414,685.639,639.254,640.464,584.898,559.808,515.468,556.99,543.264,513.424,469.91,484.888,490.07,506.94,554.6,511.8
10_small,664.631,653.325,617.294,670.458,598.375,599.674,609.772,576.05,580.17,547.798,542.536,526.3,496.4,501.92,475,549
110_small,698.958,678.108,708.211,686.67,728.562,610.376,675.004,613.724,692.775,617.042,570.968,588.727,603.398,605.534,555.8,591.8
111_small,1108.631,1066.571,1045.08,891.756,971.744,909.196,911.672,912.112,868.862,777.944,715.216,744.354,689.73,846.04,638.4,610.6
113_small,792.459,717.496,675.802,693.189,682.376,609.96,687.188,607.112,626.823,573.89,693.788,559.954,585.392,580.962,607,544.4
114_small,801.914,793.31,802.526,738.394,782.552,731.857,704.144,733.944,655.097,707.627,785.464,681.568,652.441,608.548,638.4,649.8
116_small,612.584,620.911,586.914,624.101,594.386,629.39,573.692,586.298,562.572,589.428,551.48,576.937,545.6,549.832,524.6,539
117_small,564.507,552.84,554.052,531.136,528.484,497.263,522.034,488.942,508.28,492.516,477.94,495.312,489.616,472.68,547.4,478.4
119_small,776.161,730.361,656.144,688.928,686.732,686.462,740.919,665.058,609.956,600.532,563.894,580.576,555.212,515.012,551.2,576.2
